comparison_id,study,experiment,emotion,strategy_code,control_code,strategy_family,gross_family,dln_stage,n_exp,n_ctrl,n_total,d_experiential,d_behavioral,d_physiological,d_composite,n_outcomes,se_d,vi
281,Vassilopoulos&Watkins(2009),1,none,C1,C2,concentration,attentional_deployment,dot,21.0,20.0,41.0,-0.37,,,-0.37,1,0.3151,0.099289
282,Vickers&Vogeltanz-Holm(2003),1,none,D3,C3,distraction,attentional_deployment,linear,44.0,42.0,86.0,0.16,,,0.16,1,0.2161,0.046686
283,Vohs&Schmeichel(2003),1,sadness,S4,Cont4,suppression,response_modulation,linear,13.0,13.0,26.0,0.13,-0.32,,-0.095,2,0.3925,0.15402
284,Vohs&Schmeichel(2003),1,sadness,S4,Cont3,suppression,response_modulation,linear,13.0,13.0,26.0,0.68,1.38,,1.03,2,0.4174,0.174248
285,Vohs&Schmeichel(2003),2,sadness,R3,Cont4,reappraisal,cognitive_change,network,17.0,16.0,33.0,-0.15,0.6,,0.225,2,0.3494,0.122091
286,Vohs&Schmeichel(2003),2,sadness,S4,Cont4,suppression,response_modulation,linear,17.0,16.0,33.0,-0.41,0.78,,0.185,2,0.3491,0.121842
287,Walser(1999),1,negative_affect,R1,S2,reappraisal,cognitive_change,network,63.0,63.0,126.0,0.13,,,0.13,1,0.1784,0.031813
288,Watkins(2004),1,negative_affect,C2,C1,concentration,attentional_deployment,dot,35.0,34.0,69.0,-0.16,,,-0.16,1,0.2412,0.058169
289,Watkins&Moulds(2005),1,none,C2,C1,concentration,attentional_deployment,dot,20.0,20.0,40.0,-0.21,,,-0.21,1,0.3171,0.100551
290,"Watkins,Moberly,&Moulds(2008)",1,negative_affect,C1,C2,concentration,attentional_deployment,dot,20.0,20.0,40.0,0.73,,,0.73,1,0.3266,0.106661
291,"Watkins,Moberly,&Moulds(2008)",2,negative_affect,D4,C2,distraction,attentional_deployment,linear,21.0,21.0,42.0,0.42,,,0.42,1,0.312,0.097338
292,"Watkins,Moberly,&Moulds(2008)",2,negative_affect,D4,C1,distraction,attentional_deployment,linear,21.0,21.0,42.0,-0.36,,,-0.36,1,0.3111,0.096781
293,"Watkins,Moberly,&Moulds(2008)",2,negative_affect,C1,C2,concentration,attentional_deployment,dot,21.0,21.0,42.0,0.87,,,0.87,1,0.3229,0.104249
294,"Watkins,Cruz,etal.(2008)",1,negative_affect,R2,C1,reappraisal,cognitive_change,network,51.0,42.0,93.0,0.24,,,0.24,1,0.2091,0.043727
295,Watson&Purdon(2008),1,negative_affect,D3,Cont1,distraction,attentional_deployment,linear,26.0,28.0,54.0,-0.25,,,-0.25,1,0.2734,0.074755
296,Watson&Purdon(2008),1,negative_affect,D1,Cont1,distraction,attentional_deployment,linear,29.0,28.0,57.0,0.34,,,0.34,1,0.2669,0.071211
297,Williamsetal.(2009),1,anxiety,R3,Cont1,reappraisal,cognitive_change,network,13.0,13.0,26.0,-0.47,,,-0.47,1,0.3976,0.158094
298,Williamsetal.(2009),2,anxiety,R3,Cont1,reappraisal,cognitive_change,network,16.0,16.0,32.0,-0.37,,,-0.37,1,0.3566,0.127139
299,Wimalaweera&Moulds(2008),1,anger,C2,C1,concentration,attentional_deployment,dot,15.0,14.0,29.0,0.85,,,0.85,1,0.388,0.150552
300,Wintersetal.(2009),1,amusement,R3,Cont4,reappraisal,cognitive_change,network,49.0,,49.0,0.67,,,0.67,1,0.2131,0.045397
301,Wong&Moulds(2009),1,anxiety,D4,C3,distraction,attentional_deployment,linear,23.0,23.0,46.0,0.36,,,0.36,1,0.2973,0.088365
302,Yartz(2004),1,disgust,R3,Cont1,reappraisal,cognitive_change,network,28.0,,28.0,0.83,,,0.83,1,0.2894,0.08373
303,Yartz(2004),1,disgust,S1,Cont1,suppression,response_modulation,linear,28.0,,28.0,-0.05,,,-0.05,1,0.2673,0.071473
304,Zetscheetal.(2009),1,negative_affect,D4,C2,distraction,attentional_deployment,linear,32.0,34.0,66.0,0.51,,,0.51,1,0.2503,0.062632
305,Zinner(2009),3,negative_affect,R2,Cont1,reappraisal,cognitive_change,network,28.0,28.0,56.0,0.24,0.12,,0.18,2,0.2678,0.071718
306,Zinner(2009),3,negative_affect,S1,Cont1,suppression,response_modulation,linear,28.0,28.0,56.0,0.23,-0.15,,0.04,2,0.2673,0.071443
